[2024-06-05 20:34:56] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-06-05 20:34:56] [class-ss-archive-creation-job.php:84] Here's our task list: setup, fetch_urls, generate_404, transfer_files_locally, wrapup
[2024-06-05 20:34:56] [class-ss-archive-creation-job.php:102] Pushing first task to queue: setup
[2024-06-05 20:34:58] [class-ss-archive-creation-job.php:136] Current task: setup
[2024-06-05 20:34:58] [class-ss-archive-creation-job.php:153] Performing task: setup
[2024-06-05 20:34:58] [class-ss-task.php:44] Status message: [setup] Mise en place
[2024-06-05 20:34:58] [class-ss-setup-task.php:33] Creating archive directory: D:\LOGICIEL\xamp\htdocs\wordpress/wp-content/uploads\simply-static\temp-files/simply-static-1-1717619696\
[2024-06-05 20:34:58] [class-ss-setup-task.php:72] Adding origin URL to queue: http://localhost/wordpress/
[2024-06-05 20:34:58] [class-ss-setup-task.php:137] File D:\LOGICIEL\xamp\htdocs\wordpress\wp-content\plugins\simply-static//src/integrations/simply-cdn/assets/ssh-form-webhook.js exists; adding to queue as: D:/LOGICIEL/xamp/htdocs/wordpress/wp-content/plugins/simply-static//src/integrations/simply-cdn/assets/ssh-form-webhook.js
[2024-06-05 20:34:58] [class-aio-seo-integration.php:75] Adding sitemap URL to queue: http://localhost/wordpress/sitemap.xml
[2024-06-05 20:34:58] [class-aio-seo-integration.php:75] Adding sitemap URL to queue: http://localhost/wordpress/post-sitemap.xml
[2024-06-05 20:34:58] [class-aio-seo-integration.php:75] Adding sitemap URL to queue: http://localhost/wordpress/page-sitemap.xml
[2024-06-05 20:34:58] [class-aio-seo-integration.php:75] Adding sitemap URL to queue: http://localhost/wordpress/attachment-sitemap.xml
[2024-06-05 20:34:58] [class-aio-seo-integration.php:75] Adding sitemap URL to queue: http://localhost/wordpress/e-landing-page-sitemap.xml
[2024-06-05 20:34:58] [class-aio-seo-integration.php:75] Adding sitemap URL to queue: http://localhost/wordpress/elementor_library-sitemap.xml
[2024-06-05 20:34:59] [class-aio-seo-integration.php:75] Adding sitemap URL to queue: http://localhost/wordpress/category-sitemap.xml
[2024-06-05 20:34:59] [class-aio-seo-integration.php:75] Adding sitemap URL to queue: http://localhost/wordpress/post_tag-sitemap.xml
[2024-06-05 20:34:59] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/animate.css/animate-config.json
[2024-06-05 20:34:59] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/animate.css/animate.css
[2024-06-05 20:34:59] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/animate.css/animate.min.css
[2024-06-05 20:34:59] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/animations/animations.min.css
[2024-06-05 20:34:59] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/backbone/backbone.marionette.js
[2024-06-05 20:34:59] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/backbone/backbone.marionette.min.js
[2024-06-05 20:34:59] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/backbone/backbone.radio.js
[2024-06-05 20:34:59] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/backbone/backbone.radio.min.js
[2024-06-05 20:34:59] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/color-thief/color-thief.min.js
[2024-06-05 20:34:59] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/dialog/dialog.js
[2024-06-05 20:34:59] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js
[2024-06-05 20:34:59] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.css
[2024-06-05 20:34:59] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.min.css
[2024-06-05 20:34:59] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/e-gallery/js/e-gallery.js
[2024-06-05 20:34:59] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/e-gallery/js/e-gallery.min.js
[2024-06-05 20:34:59] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/e-select2/css/e-select2.css
[2024-06-05 20:34:59] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/e-select2/css/e-select2.min.css
[2024-06-05 20:34:59] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/e-select2/js/e-select2.full.js
[2024-06-05 20:34:59] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/e-select2/js/e-select2.full.min.js
[2024-06-05 20:34:59] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.css
[2024-06-05 20:34:59] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css
